kandang,jmlAyam,jmlEmber,jmlPakan,hargaPakan,hargaSentral,mortality,faktorPakan
B1,777,7,91,7300,25000,0,13
B1+,963,8.5,110.5,7300,25000,0,13
B2,828,7,91,7300,25000,0,13
B2+,775,7,91,7300,25000,0,13
B3,822,7,91,7300,25000,0,13
B3+,911,9.5,123.5,7300,25000,0,13
